SALE PRICE,SALE DATE,GROSS SQUARE FEET,LAND SQUARE FEET,BOROUGH
1690673,2020-01-01,9880.0,3800.0,3
481650,2020-01-02,0.0,0.0,1
600000,2020-01-02,1594.0,4177.0,3
565000,2020-01-02,1296.0,2500.0,3
860000,2020-01-02,1580.0,1620.0,3
1700000,2020-01-02,0.0,0.0,2
495000,2020-01-02,0.0,0.0,3
1100000,2020-01-02,3276.0,1950.0,1
375000,2020-01-02,1680.0,2825.0,0
458500,2020-01-02,1832.0,1536.0,4
891000,2020-01-02,3500.0,2800.0,3
450000,2020-01-02,935.0,2800.0,1
275000,2020-01-02,2944.0,2000.0,0
190000,2020-01-02,0.0,0.0,0
1250000,2020-01-02,3286.0,2800.0,3
725000,2020-01-02,2408.0,2575.0,4
470000,2020-01-02,1595.0,2035.0,4
155000,2020-01-02,0.0,0.0,0
345000,2020-01-02,0.0,0.0,4
550000,2020-01-02,0.0,0.0,1
1200000,2020-01-02,2648.0,5000.0,1
845000,2020-01-02,1634.0,4000.0,3
600000,2020-01-02,0.0,0.0,1
450000,2020-01-02,1368.0,3000.0,4
430000,2020-01-02,1206.0,1980.0,4
546800,2020-01-02,0.0,0.0,1
1100000,2020-01-02,2700.0,2000.0,1
960000,2020-01-02,2700.0,2000.0,1
350000,2020-01-02,3360.0,2500.0,0
760000,2020-01-02,4040.0,2500.0,0
1723650,2020-01-02,13040.0,3922.0,2
830000,2020-01-02,2496.0,4000.0,4
350000,2020-01-02,0.0,0.0,3
605000,2020-01-02,0.0,0.0,1
1723650,2020-01-02,17585.0,4996.0,2
1420000,2020-01-02,3690.0,2440.0,1
1440000,2020-01-02,2600.0,4000.0,3
755416,2020-01-02,3678.0,2083.0,0
523000,2020-01-02,2080.0,2020.0,3
1100000,2020-01-02,0.0,0.0,0
850000,2020-01-02,1328.0,2404.0,1
483000,2020-01-02,1739.0,5100.0,0
720000,2020-01-02,1092.0,1800.0,1
998000,2020-01-02,1368.0,4000.0,3
520000,2020-01-02,1116.0,1625.0,3
1230000,2020-01-02,1960.0,4000.0,3
875000,2020-01-02,0.0,0.0,1
1211000,2020-01-02,1400.0,3000.0,1
730000,2020-01-02,2400.0,4070.0,4
510000,2020-01-02,1100.0,4000.0,4
760000,2020-01-02,1476.0,2600.0,3
805000,2020-01-02,0.0,0.0,2
320000,2020-01-02,3432.0,2080.0,1
469651,2020-01-02,3402.0,5660.0,4
550000,2020-01-02,2166.0,2700.0,1
590000,2020-01-02,1880.0,4380.0,4
665000,2020-01-02,1424.0,1800.0,3
20000,2020-01-02,12768.0,14587.0,1
375000,2020-01-02,0.0,0.0,4
899999,2020-01-02,1744.0,10300.0,4
545000,2020-01-02,1946.0,2400.0,1
660000,2020-01-02,1940.0,2625.0,4
20000,2020-01-02,7800.0,2500.0,1
769999,2020-01-02,1632.0,2800.0,3
525000,2020-01-02,1880.0,7656.0,4
729000,2020-01-02,0.0,0.0,1
385000,2020-01-02,1152.0,2002.0,3
850000,2020-01-02,1585.0,4000.0,3
525000,2020-01-02,1111.0,4000.0,3
365000,2020-01-02,1720.0,5000.0,0
1275000,2020-01-02,0.0,0.0,1
1475000,2020-01-02,2394.0,2500.0,3
590000,2020-01-02,988.0,4000.0,3
525000,2020-01-02,1880.0,3847.0,4
750000,2020-01-02,0.0,2500.0,0
540000,2020-01-03,1296.0,2080.0,0
620000,2020-01-03,1308.0,4000.0,3
535000,2020-01-03,1043.0,4080.0,4
325000,2020-01-03,0.0,0.0,3
776000,2020-01-03,3592.0,2725.0,0
450000,2020-01-03,1696.0,3700.0,4
510000,2020-01-03,2532.0,4000.0,3
330821,2020-01-03,0.0,0.0,0
1089000,2020-01-03,0.0,0.0,2
370000,2020-01-03,2348.0,5000.0,0
748000,2020-01-03,0.0,0.0,3
610000,2020-01-03,1500.0,2500.0,3
1230000,2020-01-03,0.0,0.0,2
760000,2020-01-03,3120.0,3015.0,4
90000,2020-01-03,1097.0,2535.0,3
638680,2020-01-03,1800.0,2549.0,3
280000,2020-01-03,1719.0,2800.0,3
1404000,2020-01-03,0.0,0.0,3
297500,2020-01-03,0.0,0.0,4
520000,2020-01-03,1630.0,1355.0,3
799000,2020-01-03,0.0,0.0,1
500000,2020-01-03,0.0,0.0,3
1173141,2020-01-03,0.0,0.0,2
1000000,2020-01-03,2592.0,18000.0,4
645965,2020-01-03,843.0,2613.0,1
1190000,2020-01-03,2187.0,4000.0,3
825000,2020-01-03,0.0,0.0,3
1399999,2020-01-03,2672.0,4416.0,3
606000,2020-01-03,2500.0,8927.0,4
1404000,2020-01-03,0.0,0.0,3
808000,2020-01-03,2354.0,4620.0,4
504400,2020-01-03,1584.0,3000.0,4
770000,2020-01-03,2843.0,1950.0,3
760000,2020-01-03,0.0,0.0,2
1250000,2020-01-03,2246.0,6000.0,3
1380000,2020-01-03,0.0,0.0,2
1200000,2020-01-03,2600.0,3120.0,1
980000,2020-01-03,0.0,0.0,2
1575000,2020-01-03,2080.0,2342.0,3
1190768,2020-01-03,0.0,0.0,1
241000,2020-01-03,0.0,2500.0,4
800000,2020-01-03,2090.0,7300.0,0
612000,2020-01-03,1092.0,2000.0,1
60000,2020-01-03,0.0,2575.0,0
409500,2020-01-03,1135.0,1069.0,4
680000,2020-01-03,0.0,2500.0,4
1410000,2020-01-03,3900.0,2900.0,1
575000,2020-01-03,1128.0,1600.0,3
1825000,2020-01-03,0.0,0.0,1
1242265,2020-01-03,0.0,0.0,2
